Code, Continent, Min_max_income, Country
MLI,Middle East & North Africa,Low income,Mali
MLT,Middle East & North Africa,High income,Malta
MMR,Middle East & North Africa,Lower middle income,Myanmar
MNA,North America,,Middle East & North Africa (excluding high income)
MNE,North America,Upper middle income,Montenegro
MNG,North America,Lower middle income,Mongolia
MNP,South Asia,High income,Northern Mariana Islands
MOZ,South Asia,Low income,Mozambique
MRT,South Asia,Lower middle income,Mauritania
MUS,South Asia,Upper middle income,Mauritius
MWI,South Asia,Low income,Malawi
MYS,South Asia,Upper middle income,Malaysia
NAC,South Asia,,North America
NAM,South Asia,Upper middle income,Namibia
NCL,Sub-Saharan Africa,High income,New Caledonia
NER,Sub-Saharan Africa,Low income,Niger
NGA,Sub-Saharan Africa,Lower middle income,Nigeria
NIC,Sub-Saharan Africa,Lower middle income,Nicaragua
NLD,Sub-Saharan Africa,High income,Netherlands
NOR,Sub-Saharan Africa,High income,Norway
NPL,Sub-Saharan Africa,Low income,Nepal
NRU,Sub-Saharan Africa,Upper middle income,Nauru
NZL,Sub-Saharan Africa,High income,New Zealand
OED,Sub-Saharan Africa,,OECD members
OMN,Sub-Saharan Africa,High income,Oman
OSS,Sub-Saharan Africa,,Other small states
PAK,Sub-Saharan Africa,Lower middle income,Pakistan
PAN,Sub-Saharan Africa,High income,Panama
PER,Sub-Saharan Africa,Upper middle income,Peru
PHL,Sub-Saharan Africa,Lower middle income,Philippines
PLW,Sub-Saharan Africa,High income,Palau
PNG,Sub-Saharan Africa,Lower middle income,Papua New Guinea
POL,Sub-Saharan Africa,High income,Poland
PRE,Sub-Saharan Africa,,Pre-demographic dividend
PRI,Sub-Saharan Africa,High income,Puerto Rico
PRK,Sub-Saharan Africa,Low income,"Korea, Dem. People's Rep."
PRT,Sub-Saharan Africa,High income,Portugal
PRY,Sub-Saharan Africa,Upper middle income,Paraguay
PSE,Sub-Saharan Africa,Lower middle income,West Bank and Gaza
PSS,Sub-Saharan Africa,,Pacific island small states
PST,Sub-Saharan Africa,,Post-demographic dividend
PYF,Sub-Saharan Africa,High income,French Polynesia
QAT,Sub-Saharan Africa,High income,Qatar
ROU,Sub-Saharan Africa,Upper middle income,Romania
RUS,Sub-Saharan Africa,Upper middle income,Russian Federation
RWA,Sub-Saharan Africa,Low income,Rwanda
SAS,Sub-Saharan Africa,,South Asia
SAU,Sub-Saharan Africa,High income,Saudi Arabia
SDN,Sub-Saharan Africa,Lower middle income,Sudan
SEN,Sub-Saharan Africa,Lower middle income,Senegal
SGP,Sub-Saharan Africa,High income,Singapore
SLB,Sub-Saharan Africa,Lower middle income,Solomon Islands
SLE,Sub-Saharan Africa,Low income,Sierra Leone
SLV,Sub-Saharan Africa,Lower middle income,El Salvador
SMR,Sub-Saharan Africa,High income,San Marino
SOM,Sub-Saharan Africa,Low income,Somalia
SRB,Sub-Saharan Africa,Upper middle income,Serbia
SSA,Sub-Saharan Africa,,Sub-Saharan Africa (excluding high income)
SSD,Sub-Saharan Africa,Low income,South Sudan
SSF,Sub-Saharan Africa,,Sub-Saharan Africa
SST,Sub-Saharan Africa,,Small states
STP,Sub-Saharan Africa,Lower middle income,São Tomé and Principe
SUR,,Upper middle income,Suriname
SVK,,High income,Slovak Republic
SVN,,High income,Slovenia
SWE,,High income,Sweden
SWZ,,Lower middle income,Eswatini
SXM,,High income,Sint Maarten (Dutch part)
SYC,,High income,Seychelles
SYR,,Low income,Syrian Arab Republic
TCA,,High income,Turks and Caicos Islands
TCD,,Low income,Chad
TEA,,,East Asia & Pacific (IDA & IBRD)
TEC,,,Europe & Central Asia (IDA & IBRD)
TGO,,Low income,Togo
THA,,Upper middle income,Thailand
TJK,,Low income,Tajikistan
TKM,,Upper middle income,Turkmenistan
TLA,,,Latin America & Caribbean (IDA & IBRD)
TLS,,Lower middle income,Timor-Leste
TMN,,,Middle East & North Africa (IDA & IBRD)
TON,,Upper middle income,Tonga
TSA,,,South Asia (IDA & IBRD)
TSS,,,Sub-Saharan Africa (IDA & IBRD)
TTO,,High income,Trinidad and Tobago
TUN,,Lower middle income,Tunisia
TUR,,Upper middle income,Turkey
TUV,,Upper middle income,Tuvalu
TZA,,Low income,Tanzania
UGA,,Low income,Uganda
UKR,,Lower middle income,Ukraine
UMC,,,Upper middle income
URY,,High income,Uruguay
USA,,High income,United States
UZB,,Lower middle income,Uzbekistan
VCT,,Upper middle income,St. Vincent and the Grenadines
VEN,,Upper middle income,"Venezuela, RB"
VGB,,High income,British Virgin Islands
VIR,,High income,Virgin Islands (U.S.)
VNM,,Lower middle income,Vietnam
VUT,,Lower middle income,Vanuatu
WLD,,,World
WSM,,Upper middle income,Samoa
XKX,,Upper middle income,Kosovo
YEM,,Low income,"Yemen, Rep."
ZAF,,Upper middle income,South Africa
ZMB,,Lower middle income,Zambia
ZWE,,Lower middle income,Zimbabwe
